DS##-	Download Starting was done @ 2022-04-07 18:51:01.408427
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.114391
UPDATE-*-	Making a new subdirectory for user 100209551339791924855's submission 52 was done @ 2022-04-07 18:51:22.119401
WARNING-*-	User Code Doesn't Exist, Skipping was done @ 2022-04-07 18:51:22.122077
WARNING-*-	User code DNE, skipping was done @ 2022-04-07 18:51:22.124382
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.129766
UPDATE-*-	Making a new subdirectory for user 101925998289740959633's submission 53 was done @ 2022-04-07 18:51:22.136140
WARNING-*-	User Code Doesn't Exist, Skipping was done @ 2022-04-07 18:51:22.139208
WARNING-*-	User code DNE, skipping was done @ 2022-04-07 18:51:22.141333
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.147032
UPDATE-*-	Making a new subdirectory for user 111444295374837612165's submission 54 was done @ 2022-04-07 18:51:22.153226
WARNING-*-	User Code Doesn't Exist, Skipping was done @ 2022-04-07 18:51:22.156140
WARNING-*-	User code DNE, skipping was done @ 2022-04-07 18:51:22.158269
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.163466
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 55 was done @ 2022-04-07 18:51:22.169384
WARNING-*-	User Code Doesn't Exist, Skipping was done @ 2022-04-07 18:51:22.172210
WARNING-*-	User code DNE, skipping was done @ 2022-04-07 18:51:22.174732
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.179933
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 56 was done @ 2022-04-07 18:51:22.186207
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.195323
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 57 was done @ 2022-04-07 18:51:22.201251
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.210372
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 58 was done @ 2022-04-07 18:51:22.216518
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.225866
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 59 was done @ 2022-04-07 18:51:22.231894
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.241256
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 60 was done @ 2022-04-07 18:51:22.247100
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.256587
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 61 was done @ 2022-04-07 18:51:22.262548
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.271864
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 62 was done @ 2022-04-07 18:51:22.278089
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.287134
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 63 was done @ 2022-04-07 18:51:22.293255
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.302994
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 64 was done @ 2022-04-07 18:51:22.309092
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.318142
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 65 was done @ 2022-04-07 18:51:22.324416
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.334431
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 66 was done @ 2022-04-07 18:51:22.340421
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.350166
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 67 was done @ 2022-04-07 18:51:22.356903
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.366521
