Read times - Current graph	Current(A) - Current graph
0	0.422
1	0.383
2	0.383
3	0.46
4	0.461
5	0.481
6	0.866
7	0.868
8	0.869
9	0.872
10	0.87
11	0.872
12	0.873
13	0.871
14	0.879
15	0.875
16	0.875
17	0.878
18	0.51
19	0.482
20	0.463
21	0.481
22	0.463
23	0.465
24	0.482
25	0.464
26	0.463
27	0.462
28	0.463
29	0.73
30	0.635
31	0.633
32	0.633
33	0.633
34	0.573
35	0.555
36	0.555
37	0.577
38	0.555
39	0.557
40	0.555
41	0.571
42	0.588
43	0.554
44	0.556
45	0.554
46	0.555
47	0.555
48	0.633
49	0.632
50	0.633
51	0.633
52	0.556
53	0.57
54	0.555
55	0.556
56	0.633
57	0.634
58	0.633
59	0.634
60	0.572
61	0.555
62	0.555
63	0.556
64	0.555
65	0.556
66	0.557
67	0.555
68	0.555
69	0.555
70	0.573
71	0.554
72	0.555
73	0.556
74	0.555
75	0.568
76	0.684
77	0.563
78	0.554
79	0.555
80	0.594
81	0.554
82	0.555
83	0.554
84	0.573
85	0.555
86	0.555
87	0.554
88	0.602
89	0.554
90	0.573
91	0.554
92	0.554
93	0.565
94	0.554
95	0.554
96	0.555
97	0.554
98	0.554
99	0.554
100	0.606
101	0.556
102	0.571
103	0.555
104	0.554
105	0.554
106	0.555
107	0.555
108	0.554
109	0.554
110	0.574
111	0.562
112	0.633
113	0.594
114	0.555
115	0.555
116	0.568
117	0.554
118	0.559
119	0.554
120	0.562
121	0.554
122	0.556
123	0.554
124	0.567
125	0.554
126	0.572
127	0.557
128	0.554
129	0.554
130	0.554
131	0.556
132	0.554
133	0.555
134	0.554
135	0.664
136	0.568
137	0.554
138	0.554
139	0.555
140	0.571
141	0.553
142	0.553
143	0.557
144	0.555
145	0.554
146	0.571
147	0.553
148	0.555
149	0.553
150	0.554
151	0.554
152	0.553
153	0.563
154	0.554
155	0.553
156	0.553
157	0.554
158	0.562
159	0.682
160	0.554
161	0.554
162	0.554
163	0.554
164	0.553
165	0.553
166	0.553
167	0.553
168	0.554
169	0.554
170	0.554
171	0.67
172	0.571
173	0.553
174	0.554
175	0.553
176	0.559
177	0.554
178	0.554
179	0.553
180	0.553
181	0.553
182	0.571
183	0.572
184	0.554
185	0.557
186	0.553
187	0.562
188	0.554
189	0.554
190	0.554
191	0.554
192	0.554
193	0.554
194	0.553
195	0.554
196	0.554
197	0.553
198	0.554
199	0.553
200	0.563
201	0.553
202	0.556
203	0.553
204	0.554
205	0.554
206	0.754
207	0.567
208	0.554
209	0.565
210	0.553
211	0.553
212	0.592
213	0.553
214	0.553
215	0.553
216	0.554
217	0.552
218	0.622
219	0.553
220	0.554
221	0.553
222	0.553
223	0.631
224	0.631
225	0.633
226	0.631
227	0.63
228	0.649
229	0.575
230	0.643
231	0.631
232	0.631
233	0.641
234	0.627
235	0.553
236	0.553
237	0.553
238	0.571
239	0.552
240	0.574
241	0.552
242	0.64
243	0.571
244	0.553
245	0.554
246	0.553
247	0.63
248	0.63
249	0.632
250	0.632
251	0.591
252	0.553
253	0.554
254	0.565
255	0.63
256	0.633
257	0.631
258	0.631
259	0.554
260	0.553
261	0.631
262	0.631
263	0.63
264	0.592
265	0.553
266	0.592
267	0.553
268	0.554
269	0.553
270	0.553
271	0.553
272	0.553
273	0.553
274	0.564
275	0.553
276	0.554
277	0.553
278	0.557
279	0.553
280	0.555
281	0.553
282	0.553
283	0.553
284	0.571
285	0.554
286	0.553
287	0.553
288	0.554
289	0.766
290	0.553
291	0.553
292	0.553
293	0.553
294	0.559
295	0.553
296	0.553
297	0.552
298	0.592
299	0.571
300	0.554
301	0.627
302	0.554
303	0.553
304	0.557
305	0.553
306	0.553
307	0.557
308	0.553
309	0.553
310	0.553
311	0.553
312	0.631
313	0.688
314	0.631
315	0.632
316	0.632
317	0.554
318	0.554
319	0.553
320	0.631
321	0.632
322	0.631
323	0.572
324	0.553
325	0.569
326	0.554
327	0.553
328	0.592
329	0.632
330	0.631
331	0.631
332	0.554
333	0.554
334	0.569
335	0.632
336	0.631
337	0.643
338	0.553
339	0.554
340	0.567
341	0.554
342	0.554
343	0.554
344	0.554
345	0.571
346	0.554
347	0.554
348	0.553
349	0.566
350	0.554
351	0.631
352	0.631
353	0.631
354	0.631
355	0.572
356	0.553
357	0.603
358	0.554
359	0.554
360	0.693
361	0.559
362	0.554
363	0.554
364	0.554
365	0.632
366	0.631
367	0.635
368	0.633
369	0.555
370	0.553
371	0.554
372	0.685
373	0.633
374	0.632
375	0.632
376	0.632
377	0.633
378	0.633
379	0.631
380	0.554
381	0.553
382	0.554
383	0.632
384	0.683
385	0.632
386	0.632
387	0.554
388	0.554
389	0.554
390	0.566
391	0.554
392	0.554
393	0.554
394	0.554
395	0.554
396	0.61
397	0.554
398	0.554
399	0.563
400	0.554
401	0.65
402	0.631
403	0.632
404	0.632
405	0.557
406	0.57
407	0.593
408	0.561
409	0.554
410	0.555
411	0.572
412	0.554
413	0.554
414	0.554
415	0.554
416	0.574
417	0.553
418	0.554
419	0.601
420	0.561
421	0.554
422	0.554
423	0.565
424	0.554
425	0.554
426	0.554
427	0.554
428	0.554
429	0.557
430	0.554
431	0.64
432	0.585
433	0.555
434	0.554
435	0.554
436	0.554
437	0.554
438	0.555
439	0.554
440	0.555
441	0.554
442	0.554
443	0.643
444	0.554
445	0.554
446	0.554
447	0.566
448	0.555
449	0.555
450	0.555
451	0.554
452	0.567
453	0.554
454	0.554
455	0.565
456	0.554
457	0.573
458	0.554
459	0.555
460	0.554
461	0.555
462	0.575
463	0.555
464	0.554
465	0.577
466	0.554
467	0.586
468	0.554
469	0.554
470	0.562
471	0.554
472	0.572
473	0.555
474	0.554
475	0.554
476	0.554
477	0.555
478	0.555
479	0.557
480	0.554
481	0.554
482	0.558
483	0.57
484	0.555
485	0.554
486	0.554
487	0.555
488	0.566
489	0.554
490	0.661
491	0.56
492	0.555
493	0.555
494	0.56
495	0.554
496	0.555
497	0.557
498	0.562
499	0.555
500	0.554
501	0.555
502	0.636
503	0.558
504	0.555
505	0.555
506	0.567
507	0.554
508	0.572
509	0.594
510	0.555
511	0.555
512	0.554
513	0.558
514	0.615
515	0.555
516	0.555
517	0.555
518	0.573
519	0.555
520	0.556
521	0.633
522	0.555
523	0.555
524	0.555
525	0.555
526	0.644
527	0.558
528	0.573
529	0.555
530	0.568
531	0.555
532	0.555
533	0.555
534	0.555
535	0.556
536	0.555
537	0.555
538	0.585
539	0.564
540	0.556
541	0.555
542	0.556
543	0.555
544	0.555
545	0.555
546	0.555
547	0.556
548	0.565
549	0.556
550	0.685
551	0.555
552	0.556
553	0.556
554	0.574
555	0.556
556	0.555
557	0.556
558	0.556
559	0.558
560	0.556
561	0.556
562	0.56
563	0.567
564	0.574
565	0.635
566	0.557
567	0.557
568	0.556
569	0.557
570	0.556
571	0.573
572	0.556
573	0.652
574	0.575
575	0.557
576	0.556
577	0.557
578	0.557
579	0.557
580	0.557
581	0.577
582	0.556
583	0.557
584	0.569
585	0.638
586	0.599
587	0.557
588	0.557
589	0.557
590	0.557
591	0.557
592	0.558
593	0.558
594	0.557
595	0.557
596	0.557
597	0.619
598	0.557
599	0.558
600	0.558
601	0.557
602	0.558
603	0.557
604	0.568
605	0.557
606	0.558
607	0.597
608	0.558
609	0.563
610	0.578
611	0.56
612	0.558
613	0.566
614	0.558
615	0.561
616	0.581
617	0.558
618	0.558
619	0.559
620	0.577
621	0.568
622	0.601
623	0.559
624	0.558
625	0.576
626	0.558
627	0.581
628	0.558
629	0.559
630	0.575
631	0.56
632	0.559
633	0.56
634	0.559
635	0.56
636	0.56
637	0.57
638	0.559
639	0.559
640	0.562
641	0.56
642	0.559
643	0.56
644	0.69
645	0.566
646	0.604
647	0.56
648	0.56
649	0.561
650	0.561
651	0.561
652	0.56
653	0.56
654	0.561
655	0.567
656	0.615
657	0.6
658	0.561
659	0.562
660	0.562
661	0.591
662	0.562
663	0.562
664	0.569
665	0.639
666	0.66
667	0.64
668	0.61
669	0.562
670	0.563
671	0.573
672	0.563
673	0.563
674	0.563
675	0.563
676	0.602
677	0.563
678	0.563
679	0.564
680	0.644
681	0.582
682	0.564
683	0.564
684	0.563
685	0.563
686	0.565
687	0.571
688	0.563
689	0.566
690	0.564
691	0.564
692	0.571
693	0.564
694	0.566
695	0.564
696	0.564
697	0.614
698	0.564
699	0.565
700	0.565
701	0.565
702	0.596
703	0.638
704	0.566
705	0.585
706	0.565
707	0.566
708	0.567
709	0.567
710	0.566
711	0.567
712	0.567
713	0.566
714	0.566
715	0.566
716	0.59
717	0.569
718	0.568
719	0.568
720	0.588
721	0.569
722	0.587
723	0.57
724	0.569
725	0.571
726	0.571
727	0.74
728	0.572
729	0.571
730	0.572
731	0.572
732	0.573
733	0.573
734	0.573
735	0.575
736	0.574
737	0.592
738	0.591
739	0.62
740	0.613
741	0.574
742	0.577
743	0.618
744	0.577
745	0.574
746	0.574
747	0.575
748	0.574
749	0.576
750	0.534
751	0.468
752	0.443
753	0.403
754	0.389
755	0.389
756	0.389
757	0.396
758	0.394
759	0.388
760	0.394
761	0.388
762	0.48
763	0.466
764	0.466
765	0.465
766	0.468
767	0.466
768	0.467
769	0.466
770	0.464
771	0.465
772	0.466
773	0.47
774	0.465
775	0.465
776	0.465
777	0.471
778	0.467
779	0.465
780	0.464
781	0.47
782	0.47
783	0.483
784	0.481
785	0.465
786	0.465
787	0.464
788	0.473
789	0.465
790	0.465
791	0.465
792	0.464
793	0.483
794	0.469
795	0.464
796	0.467
797	0.464
798	0.483
799	0.489
800	0.469
801	0.465
802	0.465
803	0.468
804	0.465
805	0.467
806	0.464
807	0.742
808	0.629
809	0.63
810	0.634
811	0.555
812	0.556
813	0.576
814	0.555
815	0.556
816	0.556
817	0.555
818	0.567
819	0.683
820	0.635
821	0.635
822	0.624
823	0.635
824	0.637
825	0.637
826	0.559
827	0.556
828	0.557
829	0.559
830	0.557
831	0.688
832	0.558
833	0.56
834	0.558
835	0.559
836	0.569
837	0.559
838	0.558
839	0.577
840	0.559
841	0.557
842	0.56
843	0.608
844	0.574
845	0.558
846	0.558
847	0.559
848	0.56
849	0.566
850	0.559
851	0.569
852	0.559
853	0.559
854	0.577
855	0.564
856	0.559
857	0.559
858	0.559
859	0.558
860	0.57
861	0.559
862	0.56
863	0.559
864	0.558
865	0.559
866	0.558
867	0.565
868	0.559
869	0.571
870	0.559
871	0.559
872	0.559
873	0.559
874	0.599
875	0.56
876	0.559
877	0.56
878	0.646
879	0.56
880	0.57
881	0.56
882	0.56
883	0.56
884	0.56
885	0.56
886	0.56
887	0.56
888	0.56
889	0.558
890	0.648
891	0.561
892	0.56
893	0.573
894	0.56
895	0.57
896	0.56
897	0.56
898	0.562
899	0.559
900	0.578
901	0.561
902	0.687
903	0.559
904	0.6
905	0.561
906	0.56
907	0.56
908	0.561
909	0.559
910	0.578
911	0.572
912	0.56
913	0.56
914	0.57
915	0.576
916	0.634
917	0.561
