Run Number:,0,Parameters:,Baseline,Executable:,file,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,932777293.0
Script Delta:,60.05912375450134,Script Start:,1634424729.5003273,Script End:,1634424789.559451
 
time,cpu,load
1634424729.4993584
1634424735.5033638,37.0,0.08
1634424741.5074496,38.0,0.15
1634424747.5134757,38.0,0.28
1634424753.5194988,39.0,0.34
1634424759.5255306,40.0,0.39
1634424765.5315516,40.0,0.44
1634424771.5375726,41.0,0.49
1634424777.5435998,41.0,0.57
1634424783.5473745,44.0,0.6
1634424789.5533972,44.0,0.63
 
