Run Number:,0,Parameters:,Baseline,Executable:,file,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Avg Room Temp:,24.7,Avg Volts:,5.248
Script Delta:,60.0600790977478,Script Start:,1634423149.1981275,Script End:,1634423209.2582066
 
time,cpu,load,dht,watts,wattHours
1634423146.9278982,53.556,0.0,24.7,2.6135,0.00039598484848484846
1634423152.9339645,53.069,0.0,24.7,2.7709,0.0008038939393939393
1634423158.9400494,53.556,0.0,24.7,2.8497,0.0012296969696969696
1634423164.946104,53.069,0.0,0.0,2.8392,0.0016606742424242424
1634423170.9522161,54.043,0.0,0.0,2.1884,0.0020415530303030303
1634423176.9582822,53.556,0.0,0.0,2.1884,0.0023731287878787878
1634423182.9643621,53.556,0.0,0.0,2.1884,0.0027047045454545453
1634423188.970423,54.043,0.0,0.0,2.2566,0.0030414469696969696
1634423194.9764771,53.069,0.0,0.0,2.2776,0.0033849469696969696
1634423200.9825997,53.069,0.0,0.0,2.1832,0.0037228863636363635
1634423206.9886608,52.582,0.0,0.0,2.1832,0.004053674242424242
 
